image,caption
10010052.jpg,A girl is on rollerskates talking on her cellphone standing in a parking lot.
10010052.jpg,A trendy girl talking on her cellphone while gliding slowly down the street.
10010052.jpg,"A young adult wearing rollerblades, holding a cellular phone to her ear."
10010052.jpg,There is a young girl on her cellphone while skating.
10010052.jpg,Woman talking on cellphone and wearing rollerskates.
1003163366.jpg,A man sleeping on a bench outside with a white and black dog sitting next to him.
1003163366.jpg,A man lays on the bench to which a white dog is also tied.
1003163366.jpg,Man laying on bench holding leash of dog sitting on ground
1003163366.jpg,A shirtless man lies on a park bench with his dog.
1003163366.jpg,A man lays on a bench while his dog sits by him.
10090841.jpg,A man with black hair sits in a restaurant with a glass of beer.
10090841.jpg,A man is sitting at a table with a drink.
10090841.jpg,A man is sitting at a table with a beer.
10090841.jpg,A dark-haired man sitting drinking.
10090841.jpg,A old man having a beer alone.
1009434119.jpg,A black and white dog is running in a grassy garden surrounded by a white fence.
1009434119.jpg,A Boston Terrier is running on lush green grass in front of a white fence.
1009434119.jpg,A black and white dog is running through the grass.
1009434119.jpg,A dog runs on the green grass near a wooden fence.
1009434119.jpg,A Boston terrier is running in the grass.
1009692167.jpg,An officer in a reflective vest stands at the front of his van with his dog.
1009692167.jpg,A trained police dog sits next to his handler in front of the police van.
1009692167.jpg,A security man with his watch dog is looking for something.
1009692167.jpg,A policeman is standing with a German Shepherd dog.
1009692167.jpg,A policeman stops on a street with a search dog.
1012150929.jpg,A little boy plays with a Nintendo GameCube controller inside a McDonald's.
1012150929.jpg,A young boy plays a video game in a McDonald's restaurant.
1012150929.jpg,A young boy plays with a GameCube kiosk at McDonald's.
1012150929.jpg,A little boy playing GameCube at a McDonald's.
1012150929.jpg,A little kid playing GameCube at McDonald's.
1021293940.jpg,Two men are hiking in a forest where snow is partially covering the ground.
1021293940.jpg,Two men hiking in the snowy wilderness.
1021293940.jpg,Two hikers resting by a patch of snow.
1021293940.jpg,Two men look up while hiking.
1021293940.jpg,Two men hiking in the snow.
102351840.jpg,A man is drilling through the frozen ice of a pond.
102351840.jpg,A person in the snow drilling a hole in the ice.
102351840.jpg,A person standing on a frozen lake.
102351840.jpg,A man drilling a hole in the ice.
102351840.jpg,Two men are ice fishing.
1026792563.jpg,A group of woman and children are standing or sitting in front of rows of vegetables.
1026792563.jpg,A group of women are trying to sell their vegetable harvest.
1026792563.jpg,People lay out vegetables on blankets at a street market.
1026792563.jpg,Villagers selling their crops at the market.
1026792563.jpg,These are some very large onions.
102860573.jpg,A construction site on a street with three men working.
102860573.jpg,Two men wearing hard hats are in a construction area.
102860573.jpg,Two men in orange vests work in road construction.
102860573.jpg,Construction workers installing a light post.
102860573.jpg,Workers in orange vests work in a street.
1035392784.jpg,A man in black with long hair playing a guitar with stickers on it.
1035392784.jpg,"A long-haired musician, playing his guitar in a performance."
1035392784.jpg,A rock artist performs on stage with an electric guitar.
1035392784.jpg,A man in a black shirt plays a black-colored guitar.
1035392784.jpg,A man wearing black is playing an electric guitar.
1047921035.jpg,"A man in a bandanna and a dirty t-shirt, and a woman in a graphic t-shirt, are standing next to a oblong hole with smoke coming out."
1047921035.jpg,"The man, who is wearing the handkerchief, is performing a task with the tub while the woman watches."
1047921035.jpg,"Two individuals, a male and a female, standing in a forested area around a tub."
1047921035.jpg,"Two people, one man and one women in the woods putting something in a tub."
1047921035.jpg,Steam rises from a large outdoor vat as two workers look on.
