image,caption
1001573224.jpg,Five ballet dancers caught mid jump in a dancing studio with sunlight coming through a window.
1001573224.jpg,Ballet dancers in a studio practice jumping with wonderful form.
1001573224.jpg,Five girls are leaping simultaneously in a dance practice room.
1001573224.jpg,Five girls dancing and bending feet in ballet class.
1001573224.jpg,A ballet class of five girls jumping in sequence.
101262930.jpg,"Two asian or spanish people, a woman and a man, sitting together in front of a glass window as cars pass."
101262930.jpg,A man in sunglasses puts his arm around a woman in a black and white blouse.
101262930.jpg,A man in sunglasses puts his arm around a woman.
101262930.jpg,A man and woman pose in front of some traffic.
101262930.jpg,An Asian couple sitting on the bench.
1014785440.jpg,Two men are carrying children on their backs down the street on a sunny day in a nice neighborhood.
1014785440.jpg,"Two men, each with a small child on their backs, walk on a paved road."
1014785440.jpg,Two men are out for a stroll with their two young children.
1014785440.jpg,Men walking down a street with children.
1014785440.jpg,Two men walking with children.
102520526.jpg,"A man in black attire shovels snow into the street, disregarding all public safety."
102520526.jpg,"Man in black jacket gray snow cap, shovels snow near a street with cars."
102520526.jpg,A man shoveling snow off the roads and sidewalks in a city.
102520526.jpg,A person is cleaning snow and ice off of a city sidewalk.
102520526.jpg,A man shovels slush of the street.
1027149103.jpg,A band is playing in front of an audience and the singer is wearing an orange shirt and has tattoos on his arm.
1027149103.jpg,In a crowded concert a man in white is approaching the main singer who is wearing a yellow shirt.
1027149103.jpg,A man wearing a yellow t-shirt is shouting into a microphone while an audience is listening.
1027149103.jpg,A man in an orange shirt sings for the crowd below a sign that says Lucky 13.
1027149103.jpg,A punk rocker screaming on stage at concert.
10287332.jpg,Two men sitting on the roof of a house while another one stands on a ladder.
10287332.jpg,Two men on a rooftop while another man stands atop a ladder watching them
10287332.jpg,"Three men, one on a ladder, work on a roof."
10287332.jpg,People are fixing the roof of a house.
10287332.jpg,Three men are working on a roof.
103306033.jpg,A woman wearing a brown dress with a matching turban is pushing a toddler through a park in his stroller.
103306033.jpg,Woman dressed in brown African attire pushing a toddler in a stroller.
103306033.jpg,A woman is walking her baby with a stroller at the local park.
103306033.jpg,The lady is pushing a child in a stroller.
103306033.jpg,A woman pushes her baby in a stroller.
104285082.jpg,A man with glasses is sitting a chair playing the oboe while a man in a purple shirt plays percussion and spectators look on.
104285082.jpg,An older man with gray hair is sitting in a chair playing a large instrument made of bamboo.
104285082.jpg,Gray-haired man in dress shirt plays the bassoon while reading sheet music from a stand
104285082.jpg,A gray-haired man sitting in a chair playing a wind instrument among other musicians.
104285082.jpg,A man playing a musical instrument.
