image,generated_caption
101362650.jpg,two men in white fighting in front of a crowd.
1029450589.jpg,a man is laying in a bed with a red pillow.
1030041880.jpg,a redheaded woman in a white tank top and green skirt sings into a microphone.
103631543.jpg,a woman is sitting at a table with plates of food and glasses of wine.
1043819504.jpg,a group of people are standing outside of a small ice house.
1056359656.jpg,a little girl is sitting in a chair and reading a book.
1071201387.jpg,a woman in a green shirt and a man in a white shirt sitting on a bench.
1077931201.jpg,a man is throwing a young boy in the air.
1079274291.jpg,two young boys are smiling and having fun on a slide.
1082478946.jpg,men in orange vests are working on a train.
109260218.jpg,three people are sitting on a rock and reading.
1094606832.jpg,a woman in a black shirt and headband is sewing on a sewing machine.
1094671386.jpg,asian woman pointing at something.
109671650.jpg,a boy stands on a rock ledge.
1107471216.jpg,a young girl is holding a small camera.
1115679311.jpg,a dog is jumping over a rock on the beach.
111737806.jpg,a girl in a white shirt and red shorts is climbing a metal structure.
1126137905.jpg,a group of people are standing in a parking lot.
1145145003.jpg,a person in a gray sweatshirt and red pants is sitting in front of a computer.
1146938063.jpg,"two men are standing in a field, one is holding a laptop and the other is holding a bind"
114949897.jpg,a man in a brown jacket is throwing a large net.
1154930578.jpg,two women are sitting at a table with drinks.
1157855775.jpg,a group of people walking along a river.
1160034462.jpg,an elderly man wearing a straw hat sits on a park bench.
1167908324.jpg,a man is playing a game in a dark room.
1178705300.jpg,a dog jumps into a pool.
1190951807.jpg,two men in hard hats are working on a large object.
1193116658.jpg,a girl in a pink hoodie rides a scooter with a child in a pink hoodie
12118309.jpg,two men are eating food.
12335073.jpg,a woman in a yellow jacket is standing in front of a green market stand.
124195430.jpg,a horse and a dog are on the beach.
1251716308.jpg,a woman with blond - hair is sitting on a chair and is playing a string instrument.
1253095131.jpg,a woman in a blue dress is sitting on a stone bench in front of a crowd of people.
1269022629.jpg,a man in a lab coat and gloves is doing a experiment.
127644661.jpg,a woman is covering her face with her hands.
128452798.jpg,a man in a black suit is dancing with a child in a red jacket.
1289352588.jpg,a man in a black tank top and two women in bathing suits stand next to a trashcan on
129321675.jpg,a group of people are sitting at a table in a restaurant.
129441311.jpg,a woman in a tan jacket is sitting by a pool.
13042995.jpg,workers are working in a factory.
1305564994.jpg,two people racing on a motorcycle.
1318029076.jpg,a boy jumps into the water.
1321723162.jpg,two girls are dancing in a mall.
133010954.jpg,two men in sunglasses and hats are standing on a brick road.
1333788342.jpg,a boy plays in the water with a yellow plastic toy.
1346051107.jpg,a man playing a saxophone and a fire hydrant.
1347001782.jpg,people walking across a bridge.
134857559.jpg,a band is playing in front of a large crowd.
1354318519.jpg,a little boy in a maroon jacket smiles at the camera.
13648274.jpg,a man in a white shirt and a woman in a black pants are standing in a parking lot.
1369506388.jpg,a group of people with face paint.
138705546.jpg,two women sitting on rocks near a body of water.
13880312.jpg,a woman in a black graduation gown is holding a black graduation cap.
1390654687.jpg,an old man in a white shirt and white pants is sitting in a chair and holding a white cup
1393707375.jpg,two women playing chess.
1398957709.jpg,a man in a black shirt is running in the street.
1400424834.jpg,a woman in a black and white striped shirt and gray jeans is standing on a rail.
1403414927.jpg,two dogs are running down a trail in the woods.
1403846093.jpg,a woman in a black dress is standing in front of a room full of people.
140407961.jpg,a man in a purple shirt and jeans is using a pair of binoculars to view a construction site.
140557878.jpg,four men are sitting on the curb.
141118204.jpg,a man and a woman are walking down a street.
1412832223.jpg,a girl in a white shirt is jumping over a sand hill.
1414454789.jpg,two chefs are working in a kitchen.
141734985.jpg,two young boys wearing helmets sit in a hole.
1425188219.jpg,a blond boy in a green shirt is looking up at a woman.
1432411014.jpg,a man with glasses looking up at a large mirror ball.
1442562321.jpg,two little girls are sitting at a table with a doll in front of them.
145053276.jpg,two women laughing at a table with drinks.
1450988692.jpg,a man reads a newspaper in front of a purple wall.
1457162537.jpg,a man in a vest walks down the street.
1458395412.jpg,an older man is sitting in a chair outside.
1463638541.jpg,a young girl is climbing a rope structure.
1469000260.jpg,a brown dog is laying down in the grass.
1476002408.jpg,a man with a backpack walks along a bridge.
1481728325.jpg,a group of young men playing instruments.
1484584782.jpg,a man hiking in the mountains.
1489286545.jpg,a man sits on a bench with a dog on his lap.
149057633.jpg,a black child in a red plaid shirt and blue pants lays on the ground.
1490670858.jpg,a young boy in a blue shirt and jeans is sitting on a red slide.
150411291.jpg,a man and a child are playing in the sand at the beach.
1510926782.jpg,a woman is standing behind a table full of vegetables.
152500619.jpg,a man with no shirt and no pants is walking with a young girl.
1527513023.jpg,a boy is playing in a yellow inflatable toy.
1553926084.jpg,a group of people in traditional japanese clothing walk down a street.
1558872760.jpg,a man in a gray sweater and blue jeans is sitting on a curb and holding a violin.
157910841.jpg,a man in a blue shirt is standing next to a grill.
158827073.jpg,a young girl is making something out of brown dirt.
158982617.jpg,a young man in a green shirt is cooking in a kitchen.
160210791.jpg,a young girl in a blue jean jacket and a green hat is carrying a colorful bucket and shovels
160566014.jpg,a man and a woman are sitting on a car.
161542404.jpg,a man is working with a piece of metal.
1616220830.jpg,a man pushing a cart with a picture of a woman on it.
166507476.jpg,a body of water with a tree branch in the middle of it.
1679607622.jpg,a man in a white shirt is sitting in a train and reading a newspaper.
170473787.jpg,a man in camouflage walks a dog on a leash.
170547828.jpg,"two men are sitting on a boat in the water, one is holding a net and the other is"
171132928.jpg,a man in a white shirt and suspenders is opening a red door.
1716077525.jpg,a man in a blue shirt is cutting a red tomato on a wooden cutting board.
172097782.jpg,a man in a red life vest waterskiing.
172923228.jpg,a man is sitting on the beach playing guitar.
17314123.jpg,a young boy is sitting on the ground with a red crate of fruit.
1733671069.jpg,a man with curly hair is singing into a microphone.
173831485.jpg,a man in a yellow shirt is working on a piece of wood.
174984835.jpg,a woman and a young girl are laughing.
176230509.jpg,a young boy is sleeping on a couch.
177222949.jpg,a man in a gray shirt and jeans is running.
179081851.jpg,a young girl is hugging a woman.
1794818900.jpg,a little girl in a blue jacket is riding a red scooter.
1800601130.jpg,a dog jumps in the air to catch a tennis ball.
182074740.jpg,a woman in a red hat walks past a blue house.
1827560917.jpg,a dog wearing a safety vest sniffs a stick.
182825639.jpg,a man in a white shirt and blue pants is carrying two large baskets on one shoulder and a large
1834548648.jpg,a little girl in a white sweater and pink shirt is sitting by a fire.
183886578.jpg,a policeman on a yellow motorcycle.
184108585.jpg,a group of people are sitting on the floor eating and drinking.
18498385.jpg,a person in black clothing standing on a ledge overlooking a mountain.
1853559110.jpg,a woman in a yellow hat and glasses is sitting down.
1869615544.jpg,a group of people in red shirts are sitting on the ground in front of a bus.
188244881.jpg,a woman in a black jumpsuit reads from a book while a man in a black suit stands next
1893252455.jpg,a man is playing a board game with his army of men.
1897025969.jpg,two dogs fighting over a stick.
1916798494.jpg,a group of people sitting in a room.
1918789327.jpg,a group of people are standing outside and talking.
1962824702.jpg,two men are standing in a shack.
19786858.jpg,a group of people are riding bikes in a park.
1982852140.jpg,two women in bathing suits are playing on the beach.
199412869.jpg,a group of people are sitting on the floor and painting.
200278000.jpg,a young boy is eating a lollipop.
201214645.jpg,a man in a black vest and hat hammering a nail on a piece of wood.
2021602343.jpg,two young boys are playing basketball.
202174343.jpg,a man rock climbing.
2039175551.jpg,a man in a red shirt and blue hard hat is standing on a ladder near a large gray tank
204150602.jpg,a large blue and red object with a man sitting on top of it.
2042048597.jpg,a group of people in blue uniforms are marching down a street.
205496450.jpg,a boy in a red shirt is pitching a baseball.
2055909552.jpg,a woman with blond - hair is holding a violin.
2059372842.jpg,"two women are sitting at a table together, one is crocheting and the other is knitting."
2060472076.jpg,a man in a hat and a sweater is working on a crate at a market.
2061171746.jpg,a group of women are sitting on the floor together.
2064046067.jpg,a little boy walking down a paved path lined with red chairs.
2072040759.jpg,a group of people are sitting on a tree branch.
207225205.jpg,a woman in a kimono smiling.
2076906555.jpg,a boy with a tattoo on his arm.
2078016024.jpg,a woman is selling vegetables on the street.
2081446176.jpg,a young asian man wearing a black jacket and a white and gray hat is smiling.
2083844357.jpg,a boy in a blue shirt is swinging a bat at a red ball.
2088910854.jpg,a man in a black hoodie and a black hat with a red and white striped christmas orname
2089473570.jpg,a man in a gray jacket is playing golf.
2090327868.jpg,a woman is giving a child a bath in front of a cow statue.
2090386465.jpg,a woman in a gray jacket and black gloves is walking in the snow.
2109370875.jpg,a woman in a black coat and hat is holding a camera in the snow.
2111360187.jpg,two boys are playing in the foamy bubbles of a bubble machine.
2122394961.jpg,people walking in the city at night.
212525046.jpg,a man sitting in a restaurant.
2129341575.jpg,a man in a red hat is walking through the snow.
2131732576.jpg,two men walking down the street.
2140332319.jpg,a woman is laying down on a couch and yawning.
2142574136.jpg,two children jump into a pool.
2147266048.jpg,a group of people working in an office.
2150590181.jpg,a man in a red vest is attempting to steal a sheep.
2151229468.jpg,a woman in a white dress is dancing in a field.
2155994202.jpg,a boy in a white shirt is looking at a rusted out tank.
2162367970.jpg,two children are playing in the snow.
2166946777.jpg,two men are standing on a boat in the water.
2173115233.jpg,a group of men are playing musical instruments in a yard.
2180726636.jpg,a man welding something with a welding mask.
2188688248.jpg,people skiing in the snow with snow covered mountains in the background.
2190227737.jpg,a woman is playing with three dogs.
219070971.jpg,a man in a red suit is standing on a mountain bike.
2191453879.jpg,a boy in a blue shirt and gray shorts is running in a field.
2191779063.jpg,two young men are sitting in front of a computer.
2191896524.jpg,a man in a camouflage jacket is playing a keyboard and singing into a microphone.
2195316844.jpg,a man in a gray and white striped shirt is standing next to a bicycle.
2196284168.jpg,a baby is sitting in a chair and holding a pink sweater.
2201858857.jpg,a toddler is sitting on the floor surrounded by toys.
2201877660.jpg,a man with a beard is holding a black object.
2202443907.jpg,a woman is standing next to a large telescope.
2216568822.jpg,a woman with a tattoo on her back.
2218843713.jpg,a boy in a red shirt is sitting on a rock in a river.
2226343167.jpg,a man and a woman are walking down the street.
2229177914.jpg,a dog jumps over a bar on fire.
2229509318.jpg,a girl in a pink jacket is playing with a brown dog.
2231041390.jpg,a group of people are dancing in a park.
2231225870.jpg,a man in a white shirt and black pants is talking to a woman in a black and white dress
2231843419.jpg,a man and a woman are sitting on a rock and looking at a book.
2232822316.jpg,a woman in a white tank top and white pants is standing in front of a booth.
223385817.jpg,a man in a blue striped shirt is sleeping in a chair.
2234368402.jpg,a young boy in a black coat is looking out of a window.
224882899.jpg,a large group of people are standing outside.
2269961438.jpg,a greyhound dog in a gray and yellow coat is running on artificial grass.
22779916.jpg,a man in a white suit is standing in front of a pool surrounded by people.
2279380309.jpg,a woman in a striped dress is standing in front of a counter full of fresh produce.
2279729059.jpg,a man in an orange shirt is standing in front of a red truck.
228716636.jpg,a man in a white shirt and blue jeans is sitting on the hood of a white van.
228947041.jpg,a man is sitting on a stool in front of a small table with a fan on it.
2291954537.jpg,two men in mexican garb are standing next to a vehicle.
230105501.jpg,two women are standing and one is holding a glass of wine.
2305290449.jpg,a group of people sit under a tree in a parking lot.
2311616095.jpg,a man in a brown shirt is cooking.
2313598755.jpg,a man and a child are laying in bed together.
2325808609.jpg,eight people in red swim trunks are in a pool.
2332390060.jpg,a woman in a black and gold leotard is jumping in the air.
2334257670.jpg,a man in a red shirt and white shorts is jumping in the air while holding a racket.
2339516180.jpg,a man walking two dogs down a street.
2342055949.jpg,two people are standing on a ledge.
2351479551.jpg,a man in a blue and white shirt is doing a back flip off a wall.
2354007039.jpg,a woman sings into a microphone while playing the violin.
2359499627.jpg,two men in blue work on a boat.
236144859.jpg,a black dog is laying on the floor with two white puppies.
2371143807.jpg,a young girl in a white shirt is playing on a wooden structure.
2372751425.jpg,a man in a hat is working in a gold jewelry store.
2372820502.jpg,a crowd of people are gathered outside of a building.
2373234213.jpg,two boys jumping on a trampoline.
2374247382.jpg,a little blond child in pajamas is sitting on a rocking toy.
2375282125.jpg,a blond woman is looking at a magazine.
2375402652.jpg,a man in a red jacket is kneeling on a door.
237650533.jpg,a group of women in purple dresses are sitting in a room.
2376694294.jpg,a boy in a swimming mask and goggles is in the water.
238046200.jpg,a girl jumps in the air on a beach at dusk.
2384728877.jpg,a woman in a red dress and a young girl in a black dress are walking down the street.
2385034500.jpg,a group of men riding motorcycles down a street.
2387197355.jpg,a woman in a black and red costume is standing next to a man in a black mask.
2391035976.jpg,a man in a red shirt is working on a potter ' s wheel.
2392928516.jpg,a woman in a brown dress is walking down the sidewalk.
2393747608.jpg,a man in a green shirt and a woman in a white hat are standing in front of a food
2405978603.jpg,a dog jumps into the water.
2407214681.jpg,two young boys in blue jerseys stand in front of a sink.
2409771090.jpg,a man in a black shirt is standing on his arms and is cheering at a concert.
241345721.jpg,a football player is running with the ball.
241346971.jpg,a football player in a red and white uniform is about to throw the ball while being tackled by a
241347441.jpg,a football player wearing a red uniform with white letters on it.
241347496.jpg,a football player in a red jersey is holding a football.
2416193212.jpg,a woman with a backpack walks down the street.
241788774.jpg,two babies are sleeping in their chairs.
24188477.jpg,a man in a construction vest is standing on a bulldozer.
2422589651.jpg,a man in a black hat and black jacket is looking over a table with a bunch of magazines.
2428997777.jpg,two people sitting on the steps of a building.
24321674.jpg,two young boys are playing on a rocky shore.
2434010943.jpg,a young girl with a blue towel on her head.
2441313372.jpg,a boy in a blue shirt and shorts is laying in a hospital bed with a cast on his arm
2442012496.jpg,a woman in a blue sweater is sitting in front of a painting and pointing at a red object.
2445234281.jpg,a person in a green shirt and black pants is laying down on a ledge overlooking a river.
2447289477.jpg,a woman in a teal shirt is sitting on a white table.
2448793019.jpg,a toddler is sitting in a blue chair.
2450461962.jpg,a man in a plaid shirt is playing the violin in a bar.
2451346427.jpg,a woman in a blue leotard is swinging on rings.
2458444461.jpg,a man holding a little girl in a park.
2460467896.jpg,construction workers work on a building.
2460804866.jpg,a toddler is climbing a rock.
246095918.jpg,a young girl in a red shirt and plaid skirt holding a doll.
2461616306.jpg,a boy in a swimming pool jumps into the water.
246704758.jpg,an asian man is standing in front of a food stand.
2467362256.jpg,a group of workers carrying a banner.
2470588201.jpg,a boy is playing with colored ribbons.
247248892.jpg,a man in a tan shirt and sunglasses holds a fish he caught.
2474480672.jpg,a man in a white robe is facing off in a wrestling match.
2474483208.jpg,two men in blue fighting in a martial arts competition.
247470609.jpg,a man in a tank top is standing in front of a stone wall.
247618600.jpg,a young girl is sleeping on a wooden deck.
